Grafico3
"Tempo (sec),""Forza di reazione3 (newton)"""
0,5.2
0.0104636217422508,3.83783460872115
0.0205085577109142,1.74978558804547
0.0307863687958785,1.73095996287375
0.04,2.12798086503418
0.0413649903774536,2.47829269507735
0.0513846754928591,2.52099878469826
0.0621986389872013,2.14878275571877
0.0722257030017986,1.78800451527617
0.08,2.04983561833225
0.0825947868083287,2.38156967091012
0.0928103156017169,2.56540006045144
0.102999869159673,2.483533516391
0.11305288356537,2.57303478877516
0.12,2.07042419512189
0.123064816098319,2.08597735890686
0.133075623683612,1.87830269322186
0.143492619016636,2.46696099310383
0.153517853309299,2.05315801991427
0.16,2.24557696452993
0.163998032878035,2.01100409115763
0.174010017939505,3.3753592344794
0.184161457598403,2.49442329324914
0.194501038332615,2.1206536861171
0.2,2.33300984913617
0.204953949030775,2.36121189059468
0.215022828278197,2.77857322519621
0.22505433793361,3.6683836326082
0.235059503426247,2.06199733439972
0.24,2.5427837312114
0.245070201556417,2.76788584337482
0.255174440972921,2.76557338330303
0.265851830134259,2.37913728845828
0.276118723611656,2.33997213197113
0.28,2.42929160291601
0.286505935964899,2.9010853334187
0.296557812223228,2.16976645551836
0.306723342867644,2.602916899875
0.316728306131948,2.80067569261337
0.32,2.40310151239039
0.327250469334569,1.61928616715728
0.337553086425091,2.8922430724032
0.347619649943994,2.48322356945462
0.357729935773155,2.78008818547673
0.36,2.77738016359011
0.36793074112456,2.10808624125402
0.378105228526345,2.23596348051458
0.388147529520289,3.83704308629806
0.398321330846138,2.67065512064063
0.4,2.38756180112175
0.408431039164753,2.24838982494569
0.418583138714018,3.64126298323255
0.428747094720863,2.42433670532234
0.439242376521799,2.48318421724848
0.44,2.48380659896474
0.449329009304379,2.80364374776623
0.459402897740799,2.293820934518
0.469985493696858,2.41306322774861
0.48,2.28471398971189
0.480972779450613,2.28527034589945
0.491415907955654,2.29896295557946
0.501625725087401,3.30601836390487
0.511955624187949,2.34088685378111
0.52,2.55229755288236
0.521969650516166,2.76367244961855
0.532073452719612,2.74004089615151
0.542096638425226,2.69286360660099
0.552180813897874,2.83253675377013
0.56,2.50381840164595
0.562229530393622,2.13481412451725
0.572592071660914,3.12184935432187
0.582594255791988,2.81341668009859
0.592598514506901,2.41526689633695
0.6,2.58288710155401
0.602960701047378,2.37762526562475
0.613110223821841,3.22889059677935
0.623129721080457,2.3704062850788
0.633142510408112,2.94703851506574
0.64,2.54813862771314
0.643183376801117,2.4167056226482
0.653453176151308,2.2392709971584
0.663551493176745,2.72141635769821
0.673691438396027,2.69890697301529
0.68,2.5420302014344
0.683705881866303,2.83650336934234
0.693795142044764,2.3416603883091
0.703898502414011,3.19244323490077
0.713993992155898,2.42486037521181
0.72,2.63102094460986
0.724173070664382,2.30273638256647
0.734257211005596,2.59294485837967
0.744260489070791,2.37865829988808
0.754360711382995,2.19630121301601
0.76,2.60403157431223
0.764593077699263,2.64097952560029
0.774610810619219,2.35010485330146
0.784731543481444,2.00029561086004
0.794822645668048,2.39025966851431
0.8,2.69193837632965
0.804974980490368,2.46883426988269
0.815480198989,2.40881920524234
0.825997727765664,2.57974757875518
0.836353845227156,3.24427681399104
0.84,2.88625161732819
0.846445276036916,2.98351804730813
0.856475894352831,3.07188746323488
0.86687908592694,1.81363845024493
0.876972369056909,2.31866804172573
0.88,2.87920583902808
0.887021385812712,2.27451956301584
0.897264165261248,2.34532703484309
0.907440812090398,2.72788887108361
0.917693490215714,2.06420556192075
0.92,2.41809313432907
0.92781028172299,2.67228218189515
0.938118346266941,2.68506392375235
0.94822478549107,2.2927013657629
0.958232745063805,2.42884481040604
0.96,3.01597842600527
0.968470571982212,2.13432188464485
0.978603826094101,2.17332233076818
0.988617301843342,2.89001092723578
0.998619825257585,2.78989786490857
1,2.34597832947775
1.00863439221947,2.35269268980023
1.01867959672932,2.88619468047169
1.02883136785887,2.59944219420418
1.03910995380638,2.78647530018998
1.04,2.88207086711355
1.0493467849844,2.52088917215291
1.05940484201118,2.16136975201936
1.06945267401593,2.63740250970847
1.07952200154557,2.91124545120778
1.08,2.60296025571988
1.08980552043453,3.2783599031214
1.09985671748453,2.99926852319488
1.10998975457233,2.76432632972177
1.12,2.51951307296881
1.12000669211912,2.51685956643075
1.13007584648434,2.46636407159615
1.14030892584839,2.65475868953941
1.15032555522489,2.45925180572464
1.16,2.80684282595354
1.16037304594938,2.57801362129227
1.17038513225146,2.34040654762703
1.18128986733425,2.06744554159203
1.19170062201998,2.46837747440002
1.2,2.72155575287148
1.20172806093986,2.84968486656346
1.21173502123485,1.67944749674977
1.22183843535284,2.97174319465678
1.23209107681297,2.82614758953667
1.24,2.76558966465261
1.24209924785479,2.39555281852857
1.25228760761276,3.00363741530206
1.26235883165047,3.06482111255361
1.27277180837955,2.15696869488536
1.28,2.54692204175692
1.28280402884317,2.97565249465883
1.29291577854067,2.25732043105074
1.3029272118071,3.00203011079878
1.31324958583318,3.23329453097645
1.32,2.7996453803603
1.32347146011035,2.19781721638656
1.33353327438388,2.51867988558566
1.3436637434173,3.162405594126
1.35376364639685,2.60015388825523
1.36,2.92601730579752
1.36385604418815,3.47588563332792
1.37404526998967,2.31064124917499
1.38418722928686,2.54972773506447
1.39449385440694,2.26174769933709
1.4,2.68562918196734
1.40465998197706,2.91180042065171
1.4149620343801,2.50121585776926
1.42506168729326,2.62492834091521
1.43520210368163,3.03829557725512
1.44,2.38477341086638
1.44532520222706,3.00957706931084
1.45540639216727,3.97271894544604
1.46548376070947,2.63111161010864
1.47551269554568,2.36886696831018
