"supA"
"Time (sec)","Reaction Force4 (newton)"
0,0
0.0101012545166334,5.29532464565887
0.020261024333448,5.87352567943157e-15
0.0306296658552061,6.5705987909271
0.04,9.04139429022212
0.0409763266041838,3.25164463026093
0.0512265535288444,6.47578411113464
0.0613322982446237,5.27641824671004
0.0713727308241002,6.0793661953429
0.08,5.83608069734132
0.0814087788804039,5.36880405443026
0.0917304543899643,6.22765919625962
0.101846636486607,5.67404976303098
0.112046280407089,5.92857567064574
0.12,6.03944149048631
0.122349494336019,6.00241581126367
0.132369709455955,5.88399590275353
0.142594562652792,5.9101045107889
0.152629018486801,5.36721138923116
0.16,6.00068840350093
0.162663445536895,5.31601613194162
0.172697550861152,5.95320959466322
0.183115517749707,4.92788989883078
0.193674322703964,5.30805583672229
0.2,5.96361164339594
0.204285410135423,5.62527773258538
0.214334236855849,6.28147371723348
0.224844864231579,5.166217510634
0.235600368577971,6.61142447724394
0.24,5.98342593404443
0.246146568189199,5.36609308836247
0.256351260777855,6.09690970297911
0.266390478743192,5.85147875327669
0.276450602543354,5.59005793344359
0.28,5.92267166831834
0.286502854635987,5.29782966486988
0.296554527282157,5.96600221562106
0.306817184105914,6.40230301040559
0.316842943365317,5.58018612560145
0.32,6.21715972118795
0.326906704022279,6.06394923995412
0.337138733865618,5.41917279107124
0.34725464867118,6.22211086384184
0.3573891831757,6.11214722356314
0.36,6.07128642077654
0.36773495012985,6.43107164147959
0.377894113950757,6.27989375204058
0.388242637445476,6.51282152344025
0.398372424403907,5.90149528020703
0.4,6.13454774026205
0.40863862601884,6.1317745979503
0.418736199013169,6.08068228514422
0.428764947732403,6.209709724234
0.43896503821623,5.50895242904594
0.44,6.04263492054677
0.449021934844891,5.91839390822155
0.459377908877102,5.02188012316359
0.469389972537489,5.98311747538841
0.479788120751284,4.82335005078532
0.48,6.32681746181695
0.490651761308616,5.9881272988082
0.501048064690111,6.61642309415901
0.51126543768935,6.45946934616539
0.52,5.76143179669518
0.52165626490267,6.14379385622841
0.531715415268436,5.39562421379269
0.54184569150923,6.36604528580868
0.552062420116928,6.14560031170829
0.56,6.49261907464147
0.562430823131507,6.49611994788215
0.572811803085099,5.55792207024594
0.58294731220882,5.90428377120422
0.593001605693414,5.52762197752521
0.6,5.99185727400921
0.603069722160585,6.34479074581264
0.613184573800447,5.82460987118102
0.62336973648381,5.95011348305367
0.633385376008326,6.18950130397716
0.64,5.32083313520518
0.643509058883524,4.94224358169395
0.653592430110304,6.16640356352691
0.663991984999263,5.30584858933187
0.674246362791671,6.53146816941333
0.68,6.19839147748097
0.684431658942811,5.8115408552109
0.694528881586296,6.24061499279904
0.704565395876849,5.69141783324297
0.714628261921374,5.98595715605889
0.72,5.87490080258863
0.724755823551479,6.05042610658048
0.735083707844608,7.02179236874776
0.745104440415621,5.75606499476786
0.755332580655792,5.11729120309007
0.76,5.79477114213795
0.765349568803154,6.35193751958026
0.77611493426807,6.21357128723305
0.786472239725925,6.08670481659787
0.796717974342508,5.36573162140257
0.8,5.95257448121801
0.80672767731955,5.90910132835985
0.816849218234887,6.11365606168207
0.827040827883216,5.37157716403255
0.837164738422815,5.89872448704246
0.84,5.9002082975005
0.847346299250121,5.92751931207886
0.857486462722554,5.94375150281919
0.867588519951993,5.61131562907583
0.877837017456688,6.11677338892082
0.88,5.96540314873816
0.887851019394182,5.80348665415502
0.898934945870508,5.87497061962425
0.908956847413845,5.57255191009756
0.919396942553955,6.17206023606977
0.92,5.69318573513277
0.92950550333611,6.02443608554506
0.939587544605437,5.63215378780036
0.949908523102066,5.45593682863543
0.96,6.16873199757339
0.960135465366947,5.06647816104213
0.970197768006652,6.00737281254185
0.980221742056118,5.19312140743377
0.990250888974794,5.81603463783834
1,5.88131344730639
1.00040511493781,6.65886713152549
1.01052450872934,5.10408916841118
1.02084983656312,5.77324386603819
1.03143797139673,6.60770034223974
1.04,5.528384975947
1.04159245890155,5.86569396641245
1.05221137288758,5.64701487040938
1.06260331778941,5.00243699664306
1.07261342505712,5.94987017349341
1.08,5.63502570835908
1.08285033681789,5.11033802440143
1.09293064264003,5.7578611594965
1.10298974665664,5.70350217235472
1.11307936439766,5.81322863405305
1.12,5.86466380960996
1.12312645346797,6.14261222819106
1.13316654208301,6.52052425073066
1.14320737355458,5.245380418567
1.15322787803038,6.20750449420162
1.16,6.1600524997296
1.16340600153723,5.98455415500131
1.17354633373294,6.06827499723212
1.18369701664699,5.66945905113234
1.19396286061935,5.92679519976193
1.2,5.8904925138338
1.20399249069298,5.49378775892405
1.21408014822368,5.52157546863049
1.22415552464804,5.5791917543714
1.23433909266474,5.40468173650787
1.24,5.8710484788758
1.24436373103857,6.36695861091302
1.25460052130558,5.48212126516718
1.26465112746714,5.27620741091053
1.27475669993954,5.89243643390055
1.28,5.57878326221267
1.28495001837654,6.73730009127914
1.29535969256297,5.76894718731441
1.30540466813272,5.26169406159343
1.31554330794775,5.63508528569413
