"Grafico9"
"Tempo (sec)","Forza di reazione12 (newton)"
0,0
0.0100068514116233,5.37304526987202
0.0200408172997541,5.42332555931007
0.0300795602306394,4.89180096084547
0.04,5.93909049084993
0.0402092119703398,4.30256328639366
0.0505052854824343,6.18059145009884
0.0605207305024518,6.13728098659368
0.0709614912912078,4.24631024568613
0.08,6.32008770390497
0.081292563162295,4.80199014765954
0.0914511990762468,6.07338540692653
0.101777644570932,6.45933667430323
0.111860778005825,7.15381506979004
0.12,6.63796334063194
0.121963667223948,6.8805419071607
0.132073706888529,6.09608095671217
0.142330268651521,6.1723869950373
0.152390364173809,6.32748226246654
0.16,6.2896439414323
0.162475450522168,5.31054924310548
0.172722043490302,7.18491612655386
0.182751391882696,6.55373156295458
0.19286032738266,6.02638912274824
0.2,5.21148544955942
0.203012758312877,7.26365913033903
0.213155993293079,6.01543133839158
0.223682017854794,6.85341093141675
0.233814023787023,6.33079037784642
0.24,5.93178058196502
0.244109687769687,5.97337976188796
0.254314845324386,6.92620316436365
0.264365826181218,5.42216003235133
0.274848170208085,5.87427948311269
0.28,6.3119458765407
0.284872138791832,6.47235184147365
0.29503592816877,6.90563806730995
0.305147678322462,5.3096605160701
0.315277985970236,5.842365738293
0.32,6.21485943173604
0.325328152935156,5.42837068503015
0.335524781176334,6.34179106564529
0.345574969163965,7.12329636704271
0.355596950277705,6.70155865043367
0.36,6.24490811457608
0.3660937272668,5.71933409631126
0.376142594731055,6.9786455571564
0.386254737481646,6.49764533589177
0.396294139537805,6.34714984831941
0.4,6.05681008968782
0.406886163435768,6.23426092123945
0.417025902836216,5.88884586010615
0.427171847769233,5.02608924185985
0.437196744305267,5.64063635374676
0.44,6.00872761582652
0.447300304068977,5.89529294908546
0.457522848858916,4.55168406005905
0.467540903463798,5.48164770843682
0.477585746468883,5.85926262715402
0.48,5.65083816063142
0.487623901307048,6.51767150062824
0.497653174235546,6.40549181304733
0.507736007283273,7.34657034402812
0.517768570418721,5.50381094739717
0.52,6.19922778296462
0.52791764222658,5.92293817816228
0.537959523661312,6.80481121495667
0.548014948913875,5.49524243547401
0.558061795468707,6.57346397499387
0.56,5.24799144340999
0.568265291796112,7.34619720415417
0.57843588941246,6.46463773219654
0.588624005531233,5.99139064684694
0.598643752522901,5.89706934171783
0.6,6.44279098215707
0.608802517469802,4.28343068233014
0.618845396911336,6.33213276840528
0.628931136915677,5.76173619964035
0.638991265431932,6.08500253226771
0.64,5.9382227011559
